Batch ID,Title,Client Batch ID,Client Number,Client Name,SDG Received Date/Time,Incubation Date/Time
B-1274,0303211112FL,0303211112FL,NAL17-088,The Glenn Store,3/3/2021 11:12,3/3/2021 15:54
B-1275,0303211234FL,0303211234FL,NAL19-198,Fluresh,3/3/2021 12:34,3/3/2021 15:54
B-1276,0303211500FL,0303211500FL,NAL21-032,Nancy Bland,3/3/2021 15:00,3/3/2021 15:54
B-1277,0304211358FL,0304211358FL,NAL16-193,San Felipe de Jesus Catholic,3/4/2021 13:58,3/4/2021 15:50
B-1278,0305211130FL,0305211130FL,NAL19-035,Elhorn Engineering,3/5/2021 11:30,3/5/2021 15:58
B-1279,0305211131FL,0305211131FL,NAL19-035,Elhorn Engineering,3/5/2021 11:31,3/5/2021 15:58
B-1280,0308210958FL,0308210958FL,NAL17-132,Phoenix Country Market,3/8/2021 9:58,3/8/2021 16:01
B-1281,0308211242FL,0308211242FL,NAL19-035,Elhorn Engineering,3/8/2021 12:42,3/8/2021 16:01
B-1282,0308211243FL,0308211243FL,NAL19-035,Elhorn Engineering,3/8/2021 12:43,3/8/2021 16:01
B-1283,0308211254FL,0308211254FL,NAL19-034,Revolution Farms,3/8/2021 12:54,3/8/2021 16:05
B-1284,0308211424FL,0308211424FL,NAL15-056,Guardian Home Inspections,3/8/2021 14:24,3/8/2021 16:01
B-1285,0309211216FL,0309211216FL,NAL18-187,Van Buren State Park,3/9/2021 12:16,3/9/2021 15:56
B-1286,0309211218FL,0309211218FL,NAL18-187,Van Buren State Park,3/9/2021 12:18,3/9/2021 15:56
B-1287,0309211359FL,0309211359FL,NAL18-187,Van Buren State Park,3/9/2021 13:59,3/9/2021 15:56
B-1288,0310210905FL,0310210905FL,NAL15-104,Intercare,3/10/2021 9:05,3/10/2021 16:03
